https://doi.org/10.1016/j.sab.2021.106098
m/z	Analyte Element Ion	Element Overlap Ion Contains	Overlap ion	Ion type
167	Er	Nd	150Nd16O1H	hydroxide
167	Er	Nd	150Nd17O	oxide
167	Er	Sm	150Sm16O1H	hydroxide
167	Er	Ar	127I40Ar	argide
168	Er	Cr	50Cr54Cr16O16O16O16O	other polyatomic
168	Er	Cr	52Cr52Cr16O16O16O16O	other polyatomic
168	Er	Er	167Er1H	hydride
168	Er	Eu	151Eu16O1H	hydroxide
168	Er	Eu	151Eu17O	oxide
168	Er	Gd	152Gd16O	oxide
168	Er	Nd	150Nd18O	oxide
168	Er	Sm	152Sm16O	oxide
168	Yb	Cr	50Cr54Cr16O16O16O16O	other polyatomic
168	Yb	Cr	52Cr52Cr16O16O16O16O	other polyatomic
168	Yb	Er	167Er1H	hydride
168	Yb	Eu	151Eu16O1H	hydroxide
168	Yb	Eu	151Eu17O	oxide
168	Yb	Gd	152Gd16O	oxide
168	Yb	Nd	150Nd18O	oxide
168	Yb	Sm	152Sm16O	oxide
168	Yb	Ce	136Ce16O16O	dioxide
168	Er	Ce	136Ce16O16O	dioxide
168	Er	Yb	168Yb	elemental
169	Tm	Eu	151Eu17O1H	hydroxide
169	Er	Gd	152Gd17O	oxide
169	Tm	Cr	50Cr54Cr16O16O16O16O1H	other polyatomic
169	Tm	Cr	52Cr52Cr16O16O16O16O1H	other polyatomic
169	Tm	Cr	52Cr53Cr16O16O16O16O	other polyatomic
169	Tm	Er	168Er1H	hydride
169	Tm	Eu	153Eu16O	oxide
169	Tm	Eu	151Eu18O	oxide
169	Tm	Gd	152Gd16O1H	hydroxide
169	Tm	Sm	152Sm16O1H	hydroxide
169	Tm	Yb	168Yb1H	hydride
170	Er	Eu	151Eu18O1H	hydroxide
170	Yb	Eu	151Eu18O1H	hydroxide
170	Er	Gd	152Gd18O	oxide
170	Yb	Gd	152Gd18O	oxide
170	Er	Gd	152Gd17O1H	hydroxide
170	Yb	Gd	152Gd17O1H	hydroxide
170	Er	Cr	52Cr53Cr16O16O16O16O1H	other polyatomic
170	Er	Cr	52Cr54Cr16O16O16O16O	other polyatomic
170	Er	Cr	53Cr53Cr16O16O16O16O	other polyatomic
170	Er	Eu	153Eu16O1H	hydroxide
170	Er	Eu	153Eu17O	oxide
170	Er	Gd	154Gd16O	oxide
170	Er	Sm	154Sm16O	oxide
170	Er	Tm	169Tm1H	hydride
170	Yb	Cr	52Cr53Cr16O16O16O16O1H	other polyatomic
170	Yb	Cr	52Cr54Cr16O16O16O16O	other polyatomic
170	Yb	Cr	53Cr53Cr16O16O16O16O	other polyatomic
170	Yb	Eu	153Eu16O1H	hydroxide
170	Yb	Eu	153Eu17O	oxide
170	Yb	Gd	154Gd16O	oxide
170	Yb	Sm	154Sm16O	oxide
170	Yb	Tm	169Tm1H	hydride
170	Yb	Ce	138Ce16O16O	dioxide
170	Er	Ce	138Ce16O16O	dioxide
170	Yb	Er	170Er	elemental
170	Er	Yb	170Yb	elemental
171	Yb	Eu	153Eu17O1H	hydroxide
171	Yb	Gd	154Gd17O	oxide
171	Yb	Gd	152Gd18O1H	hydroxide
171	Yb	Er	170Er1H	hydride
171	Yb	Eu	153Eu18O	oxide
171	Yb	Gd	155Gd16O	oxide
171	Yb	Gd	154Gd16O1H	hydroxide
171	Yb	Sm	154Sm16O1H	hydroxide
171	Yb	Yb	170Yb1H	hydride
172	Yb	Gd	155Gd17O	oxide
172	Yb	Gd	154Gd18O	oxide
172	Yb	Gd	154Gd17O1H	hydroxide
172	Yb	Ba	132Ba40Ar	argide
172	Yb	Ce	140Ce16O16O	dioxide
172	Yb	Dy	156Dy16O	oxide
172	Yb	Eu	153Eu18O1H	hydroxide
172	Yb	Gd	156Gd16O	oxide
172	Yb	Gd	155Gd16O1H	hydroxide
172	Yb	Yb	171Yb1H	hydride
172	Yb	Ce	136Ce36Ar	argide
172	Yb	Ar	132Ba40Ar	argide
172	Yb	Ar	136Ce36Ar	argide
173	Yb	Gd	156Gd17O	oxide
173	Yb	Gd	155Gd18O	oxide
173	Yb	Gd	155Gd17O1H	hydroxide
173	Yb	Gd	154Gd18O1H	hydroxide
173	Yb	Ce	140Ce16O16O1H	other polyatomic
173	Yb	Cs	133Cs40Ar	argide
173	Yb	Dy	156Dy16O1H	hydroxide
173	Yb	Gd	156Gd16O1H	hydroxide
173	Yb	Gd	157Gd16O	oxide
173	Yb	Yb	172Yb1H	hydride
173	Yb	Ar	133Cs40Ar	argide
174	Hf	Gd	157Gd17O	oxide
174	Yb	Gd	157Gd17O	oxide
174	Yb	Gd	156Gd18O	oxide
174	Hf	Gd	156Gd18O	oxide
174	Yb	Gd	156Gd17O1H	hydroxide
174	Hf	Gd	156Gd17O1H	hydroxide
174	Yb	Gd	155Gd18O1H	hydroxide
174	Hf	Gd	155Gd18O1H	hydroxide
174	Hf	Ba	134Ba40Ar	argide
174	Hf	Ce	142Ce16O16O	dioxide
174	Hf	Dy	158Dy16O	oxide
174	Hf	Gd	157Gd16O1H	hydroxide
174	Hf	Gd	158Gd16O	oxide
174	Hf	Yb	173Yb1H	hydride
174	Yb	Ba	134Ba40Ar	argide
174	Yb	Ce	142Ce16O16O	dioxide
174	Yb	Dy	158Dy16O	oxide
174	Yb	Gd	157Gd16O1H	hydroxide
174	Yb	Gd	158Gd16O	oxide
174	Yb	Yb	173Yb1H	hydride
174	Hf	Ce	136Ce38Ar	argide
174	Yb	Ce	136Ce38Ar	argide
174	Hf	Ce	138Ce36Ar	argide
174	Yb	Ce	138Ce36Ar	argide
174	Yb	Hf	174Hf	elemental
174	Hf	Ar	134Ba40Ar	argide
174	Yb	Ar	134Ba40Ar	argide
174	Hf	Ar	136Ce38Ar	argide
174	Yb	Ar	136Ce38Ar	argide
174	Hf	Ar	138Ce36Ar	argide
174	Yb	Ar	138Ce36Ar	argide
175	Lu	Gd	158Gd17O	oxide
175	Lu	Gd	157Gd18O	oxide
175	Lu	Gd	157Gd17O1H	hydroxide
175	Lu	Gd	156Gd18O1H	hydroxide
175	Lu	Ba	135Ba40Ar	argide
175	Lu	Dy	158Dy16O1H	hydroxide
175	Lu	Gd	158Gd16O1H	hydroxide
175	Lu	Hf	174Hf1H	hydride
175	Lu	Tb	159Tb16O	oxide
175	Lu	Yb	174Yb1H	hydride
175	Lu	Ar	135Ba40Ar	argide
176	Lu	Gd	158Gd18O	oxide
176	Yb	Gd	158Gd18O	oxide
176	Hf	Gd	158Gd18O	oxide
176	Lu	Gd	158Gd17O1H	hydroxide
176	Yb	Gd	158Gd17O1H	hydroxide
176	Lu	Gd	157Gd18O1H	hydroxide
176	Hf	Gd	157Gd18O1H	hydroxide
176	Yb	Gd	157Gd18O1H	hydroxide
176	Lu	Ba	136Ba40Ar	argide
176	Lu	Dy	160Dy16O	oxide
176	Lu	Gd	160Gd16O	oxide
176	Lu	Tb	159Tb16O1H	hydroxide
176	Lu	Tb	159Tb17O	oxide
176	Yb	Ba	136Ba40Ar	argide
176	Yb	Dy	160Dy16O	oxide
176	Yb	Gd	160Gd16O	oxide
176	Yb	Tb	159Tb16O1H	hydroxide
176	Yb	Tb	159Tb17O	oxide
176	Hf	Ba	136Ba40Ar	argide
176	Hf	Dy	160Dy16O	oxide
176	Hf	Gd	160Gd16O	oxide
176	Hf	Tb	159Tb16O1H	hydroxide
176	Hf	Tb	159Tb17O	oxide
176	Lu	Lu	175Lu1H	hydride
176	Lu	Ce	140Ce36Ar	argide
176	Yb	Ce	140Ce36Ar	argide
176	Lu	Ce	136Ce40Ar	argide
176	Yb	Ce	136Ce40Ar	argide
176	Hf	Ce	136Ce40Ar	argide
176	Lu	Ce	138Ce38Ar	argide
176	Yb	Ce	138Ce38Ar	argide
176	Hf	Ce	138Ce38Ar	argide
176	Yb	Hf	176Hf	elemental
176	Lu	Hf	176Hf	elemental
176	Hf	Lu	176Lu	elemental
176	Yb	Lu	176Lu	elemental
176	Hf	Yb	176Yb	elemental
176	Lu	Yb	176Yb	elemental
176	Lu	Ar	136Ba40Ar	argide
176	Yb	Ar	136Ba40Ar	argide
176	Hf	Ar	136Ba40Ar	argide
176	Lu	Ar	140Ce36Ar	argide
176	Yb	Ar	140Ce36Ar	argide
176	Lu	Ar	136Ce40Ar	argide
176	Yb	Ar	136Ce40Ar	argide
176	Hf	Ar	136Ce40Ar	argide
176	Lu	Ar	138Ce38Ar	argide
176	Yb	Ar	138Ce38Ar	argide
176	Hf	Ar	138Ce38Ar	argide
177	Hf	Gd	160Gd17O	oxide
177	Hf	Gd	158Gd18O1H	hydroxide
177	Hf	Ba	137Ba40Ar	argide
177	Hf	Dy	161Dy16O	oxide
177	Hf	Dy	160Dy16O1H	hydroxide
177	Hf	Gd	160Gd16O1H	hydroxide
177	Hf	Hf	176Hf1H	hydride
177	Hf	Lu	176Lu1H	hydride
177	Hf	Tb	159Tb18O	oxide
177	Hf	Tb	159Tb17O1H	hydroxide
177	Hf	Yb	176Yb1H	hydride
177	Hf	Ar	137Ba40Ar	argide
178	Hf	Ba	138Ba40Ar	argide
178	Hf	Dy	162Dy16O	oxide
178	Hf	Dy	161Dy16O1H	hydroxide
178	Hf	Er	162Er16O	oxide
178	Hf	Gd	160Gd17O1H	hydroxide
178	Hf	Gd	160Gd18O	oxide
178	Hf	Hf	177Hf1H	hydride
178	Hf	Tb	159Tb18O1H	hydroxide
178	Hf	La	138La40Ar	argide
178	Hf	Ce	138Ce40Ar	argide
178	Hf	Ce	142Ce36Ar	argide
178	Hf	Er	162Er16O	oxide
178	Hf	Ar	138Ba40Ar	argide
178	Hf	Ar	138La40Ar	argide
178	Hf	Ar	138Ce40Ar	argide
178	Hf	Ar	142Ce36Ar	argide
179	Hf	Gd	160Gd18O1H	hydroxide
179	Hf	Dy	163Dy16O	oxide
179	Hf	Dy	162Dy16O1H	hydroxide
179	Hf	Er	162Er16O1H	hydroxide
179	Hf	Hf	178Hf1H	hydride
179	Hf	La	139La40Ar	argide
179	Hf	Er	162Er17O	oxide
179	Hf	Ar	139La40Ar	argide
180	Ta	Er	162Er17O1H	hydroxide
180	W	Er	162Er17O1H	hydroxide
180	Hf	Er	162Er17O1H	hydroxide
180	Ta	Ce	142Ce38Ar	argide
180	W	Ce	142Ce38Ar	argide
180	Hf	Ce	142Ce38Ar	argide
180	Ta	Ce	140Ce40Ar	argide
180	Ta	Dy	164Dy16O	oxide
180	Ta	Dy	163Dy16O1H	hydroxide
180	Ta	Er	164Er16O	oxide
180	Ta	Er	162Er18O	oxide
180	Ta	Hf	179Hf1H	hydride
180	W	Ce	140Ce40Ar	argide
180	W	Dy	164Dy16O	oxide
180	W	Dy	163Dy16O1H	hydroxide
180	W	Er	164Er16O	oxide
180	W	Er	162Er18O	oxide
180	W	Hf	179Hf1H	hydride
180	Hf	Ce	140Ce40Ar	argide
180	Hf	Dy	164Dy16O	oxide
180	Hf	Dy	163Dy16O1H	hydroxide
180	Hf	Er	164Er16O	oxide
180	Hf	Er	162Er18O	oxide
180	Hf	Hf	179Hf1H	hydride
180	Hf	Ta	180Ta	elemental
180	W	Ta	180Ta	elemental
180	Ta	W	180W	elemental
180	Hf	W	180W	elemental
180	Ta	Ar	142Ce38Ar	argide
180	W	Ar	142Ce38Ar	argide
180	Hf	Ar	142Ce38Ar	argide
180	Ta	Ar	140Ce40Ar	argide
180	W	Ar	140Ce40Ar	argide
180	Hf	Ar	140Ce40Ar	argide
181	Ta	Er	162Er18O1H	hydroxide
181	Ta	Er	164Er17O	oxide
181	Ta	Dy	164Dy16O1H	hydroxide
181	Ta	Er	164Er16O1H	hydroxide
181	Ta	Hf	180Hf1H	hydride
181	Ta	Ho	165Ho16O	oxide
181	Ta	Pr	141Pr40Ar	argide
181	Ta	Ta	180Ta1H	hydride
181	Ta	W	180W1H	hydride
181	Ta	Ar	141Pr40Ar	argide
182	W	Er	164Er17O1H	hydroxide
182	W	Ce	142Ce40Ar	argide
182	W	Cr	50Cr52Cr16O16O16O16O16O	other polyatomic
182	W	Dy	164Dy18O	oxide
182	W	Er	166Er16O	oxide
182	W	Er	164Er18O	oxide
182	W	Ho	165Ho16O1H	hydroxide
182	W	Ho	165Ho17O	oxide
182	W	Nd	142Nd40Ar	argide
182	W	Ta	181Ta1H	hydride
182	W	Ar	142Ce40Ar	argide
182	W	Ar	142Nd40Ar	argide
183	W	Er	166Er17O	oxide
183	W	Cr	50Cr53Cr16O16O16O16O16O	other polyatomic
183	W	Er	167Er16O	oxide
183	W	Er	166Er16O1H	hydroxide
183	W	Er	164Er18O1H	hydroxide
183	W	Ho	165Ho18O	oxide
183	W	Ho	165Ho17O1H	hydroxide
183	W	Nd	143Nd40Ar	argide
183	W	W	182W1H	hydride
183	W	Ar	143Nd40Ar	argide
184	Os	Er	166Er17O1H	hydroxide
184	W	Er	166Er17O1H	hydroxide
184	Os	Er	167Er17O	oxide
184	W	Er	167Er17O	oxide
184	Os	Cr	50Cr54Cr16O16O16O16O16O	other polyatomic
184	Os	Cr	52Cr52Cr16O16O16O16O16O	other polyatomic
184	Os	Er	168Er16O	oxide
184	Os	Er	167Er16O1H	hydroxide
184	Os	Er	166Er18O	oxide
184	Os	Ho	165Ho18O1H	hydroxide
184	Os	Nd	144Nd40Ar	argide
184	Os	W	183W1H	hydride
184	Os	Yb	168Yb16O	oxide
184	W	Cr	50Cr54Cr16O16O16O16O16O	other polyatomic
184	W	Cr	52Cr52Cr16O16O16O16O16O	other polyatomic
184	W	Er	168Er16O	oxide
184	W	Er	167Er16O1H	hydroxide
184	W	Er	166Er18O	oxide
184	W	Ho	165Ho18O1H	hydroxide
184	W	Nd	144Nd40Ar	argide
184	W	W	183W1H	hydride
184	W	Yb	168Yb16O	oxide
184	W	Os	184Os	elemental
184	Os	Ar	144Nd40Ar	argide
184	W	Ar	144Nd40Ar	argide
185	Re	Er	167Er17O1H	hydroxide
185	Re	Er	168Er17O	oxide
185	Re	Cr	52Cr53Cr16O16O16O16O16O	other polyatomic
185	Re	Er	168Er16O1H	hydroxide
185	Re	Er	167Er18O	oxide
185	Re	Er	166Er18O1H	hydroxide
185	Re	Nd	145Nd40Ar	argide
185	Re	Os	184Os1H	hydride
185	Re	Tm	169Tm16O	oxide
185	Re	W	184W1H	hydride
185	Re	Ar	145Nd40Ar	argide
186	Os	Er	168Er17O1H	hydroxide
186	W	Er	168Er17O1H	hydroxide
186	Os	Cr	52Cr54Cr16O16O16O16O16O	other polyatomic
186	Os	Cr	53Cr53Cr16O16O16O16O16O	other polyatomic
186	Os	Er	170Er16O	oxide
186	Os	Er	168Er18O	oxide
186	Os	Er	167Er18O1H	hydroxide
186	Os	Nd	146Nd40Ar	argide
186	Os	Re	185Re1H	hydride
186	Os	Tm	169Tm16O1H	hydroxide
186	Os	Tm	169Tm17O	oxide
186	Os	Yb	170Yb16O	oxide
186	W	Cr	52Cr54Cr16O16O16O16O16O	other polyatomic
186	W	Cr	53Cr53Cr16O16O16O16O16O	other polyatomic
186	W	Er	170Er16O	oxide
186	W	Er	168Er18O	oxide
186	W	Er	167Er18O1H	hydroxide
186	W	Nd	146Nd40Ar	argide
186	W	Re	185Re1H	hydride
186	W	Tm	169Tm16O1H	hydroxide
186	W	Tm	169Tm17O	oxide
186	W	Yb	170Yb16O	oxide
186	W	Os	186Os	elemental
186	Os	W	186W	elemental
186	Os	Ar	146Nd40Ar	argide
186	W	Ar	146Nd40Ar	argide
187	Os	Er	170Er17O	oxide
187	Re	Er	170Er17O	oxide
187	Os	Er	170Er16O1H	hydroxide
187	Os	Er	168Er18O1H	hydroxide
187	Os	Os	186Os1H	hydride
187	Os	Tm	169Tm18O	oxide
187	Os	W	186W1H	hydride
187	Os	Yb	171Yb16O	oxide
187	Os	Yb	170Yb16O1H	hydroxide
187	Re	Er	170Er16O1H	hydroxide
187	Re	Er	168Er18O1H	hydroxide
187	Re	Os	186Os1H	hydride
187	Re	Tm	169Tm18O	oxide
187	Re	W	186W1H	hydride
187	Re	Yb	171Yb16O	oxide
187	Re	Yb	170Yb16O1H	hydroxide
187	Os	Eu	151Eu36Ar	argide
187	Re	Eu	151Eu36Ar	argide
187	Os	Re	187Re	elemental
187	Os	Ar	151Eu36Ar	argide
187	Re	Ar	151Eu36Ar	argide
188	Os	Er	170Er17O1H	hydroxide
188	Os	Er	170Er18O	oxide
188	Os	Nd	148Nd40Ar	argide
188	Os	Os	187Os1H	hydride
188	Os	Re	187Re1H	hydride
188	Os	Yb	172Yb16O	oxide
188	Os	Yb	171Yb16O1H	hydroxide
188	Os	Ar	148Nd40Ar	argide
189	Os	Er	170Er18O1H	hydroxide
189	Os	Os	188Os1H	hydride
189	Os	Yb	173Yb16O	oxide
189	Os	Yb	172Yb16O1H	hydroxide
189	Os	Eu	153Eu36Ar	argide
189	Os	Eu	151Eu38Ar	argide
189	Os	Ar	153Eu36Ar	argide
189	Os	Ar	151Eu38Ar	argide
190	Pt	Hf	174Hf16O	oxide
190	Pt	Nd	150Nd40Ar	argide
190	Pt	Os	189Os1H	hydride
190	Pt	Yb	174Yb16O	oxide
190	Pt	Yb	173Yb16O1H	hydroxide
190	Os	Hf	174Hf16O	oxide
190	Os	Nd	150Nd40Ar	argide
190	Os	Os	189Os1H	hydride
190	Os	Yb	174Yb16O	oxide
190	Os	Yb	173Yb16O1H	hydroxide
190	Os	Pt	190Pt	elemental
190	Pt	Ar	150Nd40Ar	argide
190	Os	Ar	150Nd40Ar	argide
191	Ir	Hf	174Hf17O	oxide
191	Ir	Eu	153Eu38Ar	argide
191	Ir	Eu	151Eu40Ar	argide
191	Ir	Hf	174Hf16O1H	hydroxide
191	Ir	Lu	175Lu16O	oxide
191	Ir	Os	190Os1H	hydride
191	Ir	Pt	190Pt1H	hydride
191	Ir	Yb	174Yb16O1H	hydroxide
191	Ir	Ar	153Eu38Ar	argide
191	Ir	Ar	151Eu40Ar	argide
192	Os	Hf	176Hf16O	oxide
192	Os	Hf	174Hf18O	oxide
192	Os	Ir	191Ir1H	hydride
192	Pt	Lu	175Lu16O	oxide
192	Os	Lu	175Lu16O	oxide
192	Os	Lu	176Lu16O	oxide
192	Os	Lu	175Lu16O1H	hydroxide
192	Os	Yb	176Yb16O	oxide
192	Pt	Hf	176Hf16O	oxide
192	Pt	Hf	174Hf18O	oxide
192	Pt	Ir	191Ir1H	hydride
192	Pt	Lu	176Lu16O	oxide
192	Pt	Lu	175Lu16O1H	hydroxide
192	Pt	Yb	176Yb16O	oxide
192	Pt	Os	192Os	elemental
192	Os	Pt	192Pt	elemental
193	Ir	Hf	176Hf17O	oxide
193	Ir	Lu	175Lu16O	oxide
193	Ir	Eu	153Eu40Ar	argide
193	Ir	Hf	177Hf16O	oxide
193	Ir	Hf	176Hf16O1H	hydroxide
193	Ir	Lu	175Lu17O1H	hydroxide
193	Ir	Lu	176Lu16O1H	hydroxide
193	Ir	Lu	176Lu17O	oxide
193	Ir	Os	192Os1H	hydride
193	Ir	Pt	192Pt1H	hydride
193	Ir	Yb	176Yb16O1H	hydroxide
193	Ir	Ar	153Eu40Ar	argide
194	Pt	Hf	177Hf17O	oxide
194	Pt	Lu	175Lu18O1H	hydroxide
194	Pt 	Hf	176Hf18O	oxide
194	Pt 	Hf	178Hf16O	oxide
194	Pt 	Hf	177Hf16O1H	hydroxide
194	Pt	Ir	193Ir1H	hydride
194	Pt	Lu	176Lu17O1H	hydroxide
194	Pt	Lu	176Lu18O	oxide
195	Pt	Hf	178Hf17O	oxide
195	Pt 	Hf	178Hf16O1H	hydroxide
195	Pt 	Hf	177Hf18O	oxide
195	Pt 	Hf	179Hf16O	oxide
195	Pt	Lu	176Lu18O1H	hydroxide
195	Pt	Pt	194Pt1H	hydride
195	Pt	Tb	159Tb36Ar	argide
195	Pt	Ar	159Tb36Ar	argide
196	Pt	Hf	179Hf17O	oxide
196	Hg	Hf	179Hf17O	oxide
196	Pt	Hf	180Hf16O	oxide
196	Pt	Hf	178Hf18O	oxide
196	Pt	Hf	179Hf16O1H	hydroxide
196	Pt	Ta	180Ta16O	oxide
196	Pt	W	180W16O	oxide
196	Hg	Hf	180Hf16O	oxide
196	Hg	Hf	178Hf18O	oxide
196	Hg	Hf	179Hf16O1H	hydroxide
196	Hg	Ta	180Ta16O	oxide
196	Hg	W	180W16O	oxide
196	Hg	Pt	195Pt1H	hydride
196	Pt	Pt	195Pt1H	hydride
196	Pt	Hg	196Hg	elemental
196	Hg	Pt	196Pt	elemental
197	Au	Hf	180Hf17O	oxide
197	Au	Hf	180Hf16O1H	hydroxide
197	Au	Hf	179Hf18O	oxide
197	Au	Hg	196Hg1H	hydride
197	Au	Pt	196Pt1H	hydride
197	Au	Ta	181Ta16O	oxide
197	Au	Ta	180Ta17O	oxide
197	Au	Ta	180Ta16O1H	hydroxide
197	Au	W	180W17O	oxide
197	Au	W	180W16O1H	hydroxide
197	Au	Tb	159Tb38Ar	argide
197	Au	Er	162Er35Cl	chloride
197	Au	Ar	159Tb38Ar	argide
197	Au	Cl	162Er35Cl	chloride
198	Pt	Hf	180Hf18O	oxide
198	Pt	Ta	181Ta17O	oxide
198	Pt	Ta	180Ta18O	oxide
198	Pt	Ta	180Ta17O1H	hydroxide
198	Pt	Ta	181Ta16O1H	hydroxide
198	Pt	W	182W16O	oxide
198	Pt	W	180W18O	oxide
198	Pt	W	180W17O1H	hydroxide
198	Hg	Hf	180Hf18O	oxide
198	Hg	Ta	181Ta17O	oxide
198	Hg	Ta	180Ta18O	oxide
198	Hg	Ta	180Ta17O1H	hydroxide
198	Hg	Ta	181Ta16O1H	hydroxide
198	Hg	W	182W16O	oxide
198	Hg	W	180W18O	oxide
198	Hg	W	180W17O1H	hydroxide
198	Pt	Hg	198Hg	elemental
198	Hg	Pt	198Pt	elemental
199	Hg	Hg	198Hg1H	hydride
199	Hg	Pt	198Pt1H	hydride
199	Hg	Ta	181Ta18O	oxide
199	Hg	Ta	181Ta17O1H	hydroxide
199	Hg	Ta	180Ta18O1H	hydroxide
199	Hg	Tb	159Tb40Ar	argide
199	Hg	W	183W16O	oxide
199	Hg	W	182W17O	oxide
199	Hg	W	182W16O1H	hydroxide
199	Hg	W	180W18O1H	hydroxide
199	Hg	Er	164Er35Cl	chloride
199	Hg	Er	162Er37Cl	chloride
199	Hg	Ar	159Tb40Ar	argide
199	Hg	Cl	164Er35Cl	chloride
199	Hg	Cl	162Er37Cl	chloride
200	Hg	Hg	199Hg1H	hydride
200	Hg	Os	184Os16O	oxide
200	Hg	Os	186Os16O1H	hydroxide
200	Hg	Ta	181Ta18O1H	hydroxide
200	Hg	W	184W16O	oxide
200	Hg	W	183W17O	oxide
200	Hg	W	182W18O	oxide
200	Hg	W	183W16O1H	hydroxide
200	Hg	W	182W17O1H	hydroxide
201	Hg	Dy	161Dy40Ar	argide
201	Hg	Hg	200Hg1H	hydride
201	Hg	Re	185Re16O	oxide
201	Hg	W	184W17O	oxide
201	Hg	W	183W18O	oxide
201	Hg	W	184W16O1H	hydroxide
201	Hg	W	183W17O1H	hydroxide
201	Hg	W	182W18O1H	hydroxide
201	Tl	Ho	165Ho36Ar	argide
201	Hg	Er	166Er35Cl	chloride
201	Hg	Er	164Er37Cl	chloride
201	Hg	Ar	161Dy40Ar	argide
201	Tl	Ar	165Ho36Ar	argide
201	Hg	Cl	166Er35Cl	chloride
201	Hg	Cl	164Er37Cl	chloride
202	Hg	Dy	162Dy40Ar	argide
202	Hg	Hg	201Hg1H	hydride
202	Hg	Os	186Os16O	oxide
202	Hg	Re	185Re16O1H	hydroxide
202	Hg	Re	185Re17O	oxide
202	Hg	W	186W16O	oxide
202	Hg	W	184W18O	oxide
202	Hg	W	184W17O1H	hydroxide
202	Hg	W	183W18O1H	hydroxide
202	Hg	Er	162Er40Ar	argide
202	Hg	Er	167Er35Cl	chloride
202	Hg	Ar	162Dy40Ar	argide
202	Hg	Ar	162Er40Ar	argide
202	Hg	Cl	167Er35Cl	chloride
203	Tl	Dy	163Dy40Ar	argide
203	Tl	Hg	202Hg1H	hydride
203	Tl	Os	187Os16O	oxide
203	Tl	Re	187Re16O	oxide
203	Tl	Re	185Re17O1H	hydroxide
203	Tl	Re	185Re18O	oxide
203	Tl	W	186W17O	oxide
203	Tl	W	186W16O1H	hydroxide
203	Tl	W	184W18O1H	hydroxide
203	Tl	Ho	165Ho38Ar	argide
203	Tl	Er	168Er35Cl	chloride
203	Tl	Er	166Er37Cl	chloride
203	Tl	Ar	163Dy40Ar	argide
203	Tl	Ar	165Ho38Ar	argide
203	Tl	Cl	168Er35Cl	chloride
203	Tl	Cl	166Er37Cl	chloride
204	Hg	Dy	164Dy40Ar	argide
204	Hg	Er	164Er40Ar	argide
204	Hg	Os	188Os16O	oxide
204	Hg	Os	187Os16O1H	hydroxide
204	Hg	Re	187Re16O1H	hydroxide
204	Hg	Re	185Re18O1H	hydroxide
204	Hg	Re	187Re17O	oxide
204	Hg	W	186W18O	oxide
204	Hg	W	186W17O1H	hydroxide
204	Hg	Tl	203Tl1H	hydride
204	Pb	Dy	164Dy40Ar	argide
204	Pb	Er	164Er40Ar	argide
204	Pb	Os	188Os16O	oxide
204	Pb	Os	187Os16O1H	hydroxide
204	Pb	Re	187Re16O1H	hydroxide
204	Pb	Re	185Re18O1H	hydroxide
204	Pb	Re	187Re17O	oxide
204	Pb	W	186W18O	oxide
204	Pb	W	186W17O1H	hydroxide
204	Pb	Tl	203Tl1H	hydride
204	Hg	Er	167Er37Cl	chloride
204	Pb	Er	167Er37Cl	chloride
204	Pb	Hg	204Hg	elemental
204	Hg	Pb	204Pb	elemental
204	Hg	Ar	164Dy40Ar	argide
204	Hg	Ar	164Er40Ar	argide
204	Pb	Ar	164Dy40Ar	argide
204	Pb	Ar	164Er40Ar	argide
204	Hg	Cl	167Er37Cl	chloride
204	Pb	Cl	167Er37Cl	chloride
205	Tl	Hg	204Hg1H	hydride
205	Tl	Ho	165Ho40Ar	argide
205	Tl	Os	189Os16O	oxide
205	Tl	Os	188Os16O1H	hydroxide
205	Tl	Pb	204Pb1H	hydride
205	Tl	Re	187Re18O	oxide
205	Tl	Re	187Re17O1H	hydroxide
205	Tl	W	186W18O1H	hydroxide
205	Tl	Er	170Er35Cl	chloride
205	Tl	Er	168Er37Cl	chloride
205	Tl	Ar	165Ho40Ar	argide
205	Tl	Cl	170Er35Cl	chloride
205	Tl	Cl	168Er37Cl	chloride
206	Pb	Tl	205Tl1H	hydride
206	Pb	Er	166Er40Ar	argide
206	Pb	Os	190Os16O	oxide
206	Pb	Os	189Os16O1H	hydroxide
206	Pb	Yb	171Yb35Cl	chloride
206	Pb	Pt	190Pt16O	oxide
206	Pb	Re	187Re18O1H	hydroxide
206	Pb	Ar	166Er40Ar	argide
206	Pb	Cl	171Yb35Cl	chloride
207	Pb	Er	167Er40Ar	argide
207	Pb	Ir	191Ir16O	oxide
207	Pb	Os	190Os16O1H	hydroxide
207	Pb	Er	170Er37Cl	chloride
207	Pb	Pb	206Pb1H	hydride
207	Pb	Ar	167Er40Ar	argide
207	Pb	Cl	170Er37Cl	chloride
208	Pb	Er	168Er40Ar	argide
208	Pb	Yb	168Yb40Ar	argide
208	Pb	Os	192Os16O	oxide
208	Pb	Pb	207Pb1H	hydride
208	Pb	Yb	171Yb37Cl	chloride
208	Pb	Er	170Er38Ar	argide
208	Pb	Yb	172Yb36Ar	argide
208	Pb	Os	190Os18O	oxide
208	Pb	Ir	191Ir17O	oxide
208	Pb	Ir	191Ir16O1H	hydroxide
208	Pb	Pt	192Pt16O	oxide
208	Pb	Ar	168Er40Ar	argide
208	Pb	Ar	168Yb40Ar	argide
208	Pb	Ar	170Er38Ar	argide
208	Pb	Ar	172Yb36Ar	argide
208	Pb	Cl	171Yb37Cl	chloride
